date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
1994-12-15,Mizoram,Aizawl,Aizawl,924,23.72,92.71,miscellaneous food,sugar,97,KG,actual,retail,INR,18.0,0.57
1994-12-15,Tamil Nadu,Chennai,Chennai,931,13.08,80.28,miscellaneous food,sugar,97,KG,actual,retail,INR,12.5,0.4
1994-12-15,Telangana,Hyderabad,Hyderabad,941,17.38,78.47,miscellaneous food,sugar,97,KG,actual,retail,INR,12.5,0.4
1994-12-15,Tripura,West Tripura,Agartala,921,23.84,91.28,miscellaneous food,sugar,97,KG,actual,retail,INR,16.0,0.51
1994-12-15,West Bengal,Kolkata,Kolkata,950,22.57,88.37,miscellaneous food,sugar,97,KG,actual,retail,INR,13.0,0.41
1996-01-15,Delhi,Delhi,Delhi,934,28.67,77.22,miscellaneous food,sugar,97,KG,actual,retail,INR,14.0,0.39
1996-01-15,Kerala,Thiruvananthapuram,Tiruvanantapuram,968,8.51,76.96,miscellaneous food,sugar,97,KG,actual,retail,INR,13.4,0.37
1996-01-15,Madhya Pradesh,Bhopal,Bhopal,928,23.27,77.4,miscellaneous food,sugar,97,KG,actual,retail,INR,13.0,0.36
1996-01-15,Maharashtra,Mumbai city,Mumbai,955,18.98,72.83,miscellaneous food,sugar,97,KG,actual,retail,INR,13.6,0.38
1996-01-15,Orissa,Khordha,Bhubaneshwar,929,20.23,85.83,miscellaneous food,sugar,97,KG,actual,retail,INR,13.5,0.38
1996-01-15,Rajasthan,Bikaner,Jaipur,944,28.88,74.07,miscellaneous food,sugar,97,KG,actual,retail,INR,14.0,0.39
1996-01-15,Telangana,Hyderabad,Hyderabad,941,17.38,78.47,miscellaneous food,sugar,97,KG,actual,retail,INR,13.0,0.36
1996-01-15,Tripura,West Tripura,Agartala,921,23.84,91.28,miscellaneous food,sugar,97,KG,actual,retail,INR,18.0,0.5
1996-01-15,Uttar Pradesh,Lucknow,Lucknow,952,26.85,80.92,miscellaneous food,sugar,97,KG,actual,retail,INR,13.5,0.38
1996-01-15,West Bengal,Kolkata,Kolkata,950,22.57,88.37,miscellaneous food,sugar,97,KG,actual,retail,INR,14.5,0.4
1996-02-15,Assam,Kamrup,Guwahati,939,26.18,91.73,miscellaneous food,sugar,97,KG,actual,retail,INR,14.6,0.4
1996-02-15,Delhi,Delhi,Delhi,934,28.67,77.22,miscellaneous food,sugar,97,KG,actual,retail,INR,14.0,0.38
1996-02-15,Gujarat,Ahmadabad,Ahmedabad,923,23.03,72.62,miscellaneous food,sugar,97,KG,actual,retail,INR,13.2,0.36
1996-02-15,Karnataka,Bangalore Urban,Bengaluru,926,12.96,77.58,miscellaneous food,sugar,97,KG,actual,retail,INR,12.2,0.33
1996-02-15,Maharashtra,Mumbai city,Mumbai,955,18.98,72.83,miscellaneous food,sugar,97,KG,actual,retail,INR,13.6,0.37
1996-02-15,Meghalaya,East Khasi Hills,Shillong,962,25.58,91.87,miscellaneous food,sugar,97,KG,actual,retail,INR,16.0,0.44
1996-02-15,Mizoram,Aizawl,Aizawl,924,23.72,92.71,miscellaneous food,sugar,97,KG,actual,retail,INR,18.0,0.49
1996-02-15,Orissa,Khordha,Bhubaneshwar,929,20.23,85.83,miscellaneous food,sugar,97,KG,actual,retail,INR,13.5,0.37
